Location,loc1,loc2,loc3,latitudes,longitudes
"Darus Salam, Dhaka",Darus Salam,Dhaka,,23.7609748,90.36575995
"Gafargaon, Mymensingh",Gafargaon,Mymensingh,,24.4550778,90.5498526
"Sadar,Cox's Bazar",Sadar,Cox's Bazar,,21.44080425,91.97689031970279
"Gaachtola, Mymensingh",Gaachtola,Mymensingh,,24.8386014,90.41126950462677
"Ishwardi,Pabna",Ishwardi,Pabna,,24.0949072,89.03456823377934
"Nawabganj,Dhaka",Nawabganj,Dhaka,,23.6605756,90.1878557
"Chakaria, Cox's Bazar",Chakaria,Cox's Bazar,,21.7662726,92.076021
Dhaka airport road,Dhaka airport road,,,23.84229135,90.40375285964708
"Sadar, Manikganj",Sadar,Manikganj,,23.8200816,90.02305769029931
"Sadar, Gopalganj",Sadar,Gopalganj,,23.0059418,89.8263479
"Ghatail, Tangail",Ghatail,Tangail,,24.4781769,89.9735137
"Shailkupa, Jhenidah",Shailkupa,Jhenidah,,23.5510989,89.1737307
"Sadar, Lalmonirhat",Sadar,Lalmonirhat,,25.89377595,89.47057479825597
"Barguna, Patharghata",Barguna,Patharghata,,22.0488173,89.9761249
"Purbadhala,Netrakona",Purbadhala,Netrakona,,24.898175199999997,90.73988532556226
"Sadar, Jashore",Sadar,Jashore,,23.1682713,89.2098441
"Gazaria,Munshiganj",Gazaria,Munshiganj,,23.5576927,90.6523837
"Sadar, Sirajganj",Sadar,Sirajganj,,22.6841244,90.36580796871468
"Chatkhil, Noakhali",Chatkhil,Noakhali,,23.063094,90.9723615
"Boraigram,Natore",Boraigram,Natore,,24.28748385,89.08217323317054
"Sarishabari,Jamalpur",Sarishabari,Jamalpur,,24.7499467,89.8331666
"Kaloroa, Satkhira",Kaloroa,Satkhira,,22.7166509,89.0749857
"Sonargaon, Narayanganj",Sonargaon,Narayanganj,,23.6508699,90.60417555325738
"Bagha, Rajshahi",Bagha,Rajshahi,,24.1919058,88.8360859
Mymensingh,Mymensingh,,,24.8386014,90.41126950462677
Joypurhat,Joypurhat,,,25.1034476,89.0209157
"Bauphal,Patuakhali",Bauphal,Patuakhali,,22.4168127,90.5589509
"Bhangura,Pabna",Bhangura,Pabna,,24.2189873,89.3911297
"Sreemangal, Moulvibazar",Sreemangal,Moulvibazar,,24.3105781,91.725133
"Madaripur,Dhaka-barishal highway",Madaripur,Dhaka-barishal highway,,22.9980215,90.2262015
"Bhairab, Kishoreganj",Bhairab,Kishoreganj,,24.0551636,90.9844249
"Raninaga,Naogao",Raninaga,Naogao,,24.4768783,90.2932426
"Dohazari Patanikul, Changanish",Dohazari Patanikul,Changanish,,24.4768783,90.2932426
"Chandanaish,Chattogram",Chandanaish,Chattogram,,22.2193288,92.02755910613291
"Chukanagar, Dumuria,Khulna",Chukanagar,Dumuria,Khulna,22.8163016,89.4117044
"Lalon sha bridge, Ishwardi,Pabna",Lalon sha bridge,Ishwardi,Pabna,24.0949072,89.03456823377934
"Dumuria, Khulna",Dumuria,Khulna,,22.8163016,89.4117044
"Khilkhet,Dhaka",Khilkhet,Dhaka,,23.8306984,90.4235987
"Dumki, Patuakhali",Dumki,Patuakhali,,22.460267,90.3876818
"Niamatpur, Naogaon",Niamatpur,Naogaon,,24.8260148,88.5785015
"Hatia, Noakhali",Hatia,Noakhali,,22.5313205,91.1775744276286
"Shibganj, Bogura",Shibganj,Bogura,,25.0140345,89.359789
"Nabiganj, Habiganj",Nabiganj,Habiganj,,24.5678894,91.5175418
"Ulipur, Kurigram",Ulipur,Kurigram,,25.6558768,89.6191027
"Senbug, Noakhali",Senbug,Noakhali,,22.5313205,91.1775744276286
"Lalpur,Natore",Lalpur,Natore,,24.1824622,88.9565006
"Lama,Bandarban",Lama,Bandarban,,21.7539993,92.2121653
"Daulatkhan, Bhola",Daulatkhan,Bhola,,22.6014346,90.7460114
"Mirzapur,Tangail",Mirzapur,Tangail,,24.1503426,90.1722355
"Basail,Tangail",Basail,Tangail,,24.2297459,90.0517494
"Nageshwari, Kurigram",Nageshwari,Kurigram,,25.9681024,89.6895759
"Ashulia, Dhaka",Ashulia,Dhaka,,23.9005799,90.3255674
"Tangail,Dhaka",Tangail,Dhaka,,24.2507265,89.9149441
"Tungipara,Gopalganj",Tungipara,Gopalganj,,22.9053736,89.8990776
"Bijoynagar,B'baria",Bijoynagar,B'baria,,24.4768783,90.2932426
"Sadar, Akkelpur, Joypurhat",Sadar,Akkelpur,Joypurhat,24.9667025,89.0169358
"debiganj, Panchagarh",debiganj,Panchagarh,,26.1201935,88.759245
Joypurhat,Joypurhat,,,25.1034476,89.0209157
Barishal-Patuakhali highway,Barishal-Patuakhali highway,,,22.3735737,90.580669
"Manda, Naogaon",Manda,Naogaon,,24.8040425,88.7479115
"Shibganj, Chapainawabganj",Shibganj,Chapainawabganj,,24.5954428,88.2704609
"Laxmipur,Chandraganj",Laxmipur,Chandraganj,,22.9413493,90.9805693
"Kamalnagar, Laxmipur",Kamalnagar,Laxmipur,,23.551102,90.6509212
"Khetlal,Joypurhat",Khetlal,Joypurhat,,24.9756809,89.2248585
"Nagarpur,Tangail",Nagarpur,Tangail,,24.0532552,89.8739848
"Ulipur, Kurigram",Ulipur,Kurigram,,25.6558768,89.6191027
"Chauddapai,Rajshahi",Chauddapai,Rajshahi,,24.4611511,88.6888703
"Lakkatura,Sylhet",Lakkatura,Sylhet,,24.59107805,91.71773617004385
"Godagari,Rajshahi",Godagari,Rajshahi,,24.4581726,88.3285448
"Sherpur,Bogura",Sherpur,Bogura,,24.8323544,89.3761328
"Sarishabari,Jamalpur",Sarishabari,Jamalpur,,24.7499467,89.8331666
"Hathazari,Chattogram",Hathazari,Chattogram,,22.498691,91.8071182
"Mohammadpur, Magura",Mohammadpur,Magura,,23.4400298,89.5102173
"Kutukchari, Rangamati",Kutukchari,Rangamati,,22.817729149999998,92.21970726375808
"Faridganj, Chandpur",Faridganj,Chandpur,,23.1282942,90.7547958
"Jhikargacha, Jashore",Jhikargacha,Jashore,,23.10411375,89.10762314886068
"Godagai,Rajshahi",Godagai,Rajshahi,,24.4611511,88.6888703
